,player,team,pos,season,gp,mp,index,ftr,orb_pct,ast_vs_tov,usg_pct,pct_close_shots,pct_mid_range,pct_of_twos_assisted,pct_of_threes_corner,pct_of_threes_assisted,3par,cluster
20,Essence Carson,LAS,G,2018,34,786,20,0.069,1.5,0.778,15.7,0.164,0.371,0.71,0.093,0.923,0.466,3
21,Tina Charles,NYL,C,2018,33,1088,21,0.219,6.6,1.28,29.2,0.495,0.335,0.681,0.032,0.871,0.171,6
22,Karima Christmas-Kelly,DAL,F-G,2018,6,167,22,1.103,7.7,0.42,13.6,0.5519999999999999,0.137,0.556,0.111,0.5,0.31,2
23,Alysha Clark,SEA,F,2018,31,813,23,0.225,4.6,0.648,12.6,0.439,0.133,0.63,0.405,1.0,0.428,3
24,Natasha Cloud,WAS,G,2018,27,715,24,0.132,1.0,1.593,16.8,0.353,0.24,0.211,0.12,0.875,0.407,3
25,Alaina Coates,CHI,C,2018,32,364,25,0.541,13.1,0.35,13.3,0.892,0.10900000000000001,0.738,0.0,0.0,0.0,2
26,Nia Coffey,LVA,F,2018,28,386,26,0.496,6.1,0.368,22.8,0.525,0.438,0.6,0.0,1.0,0.036,1
27,Marissa Coleman,NYL,G-F,2018,21,384,27,0.052,3.9,0.91,15.4,0.156,0.469,0.571,0.302,1.0,0.374,3
28,Kahleah Copper,CHI,G-F,2018,33,524,28,0.275,4.0,0.512,22.2,0.42600000000000005,0.26,0.596,0.234,1.0,0.314,4
29,Monique Currie,WAS,F,2018,32,508,29,0.413,4.2,0.538,21.8,0.308,0.354,0.588,0.121,0.882,0.337,4
30,Damiris Dantas,ATL,F,2018,19,255,30,0.186,7.3,1.241,19.6,0.422,0.361,0.838,0.095,1.0,0.216,1
31,Kaela Davis,DAL,F,2018,27,453,31,0.271,3.4,0.702,18.6,0.382,0.333,0.475,0.146,0.9,0.285,4
32,Elena Delle Donne,WAS,F-G,2018,29,933,32,0.275,5.5,2.667,26.2,0.348,0.384,0.462,0.025,0.898,0.268,6
33,Diamond DeShields,CHI,G,2018,34,967,33,0.358,4.7,0.963,24.1,0.45999999999999996,0.22799999999999998,0.532,0.311,0.95,0.312,5
34,Blake Dietrick,ATL,G,2018,26,186,34,0.171,1.2,0.36,11.6,0.28600000000000003,0.058,1.0,0.478,1.0,0.657,3
35,Skylar Diggins-Smith,DAL,G,2018,32,1092,35,0.39,2.3,2.369,24.4,0.44,0.186,0.23,0.081,0.549,0.373,5
36,Stefanie Dolson,CHI,C,2018,27,745,36,0.14,3.3,1.061,17.4,0.441,0.33199999999999996,0.809,0.077,1.0,0.227,3
37,Candice Dupree,IND,F,2018,32,1006,37,0.177,4.0,1.0,22.1,0.352,0.6459999999999999,0.631,0.0,0.0,0.002,4
38,Temi Fagbenle,MIN,C,2018,30,283,38,0.299,11.9,0.48,17.5,0.585,0.41600000000000004,0.615,0.0,0.0,0.0,0
39,Jamierra Faulkner,CHI,G,2018,17,360,39,0.179,1.7,1.497,22.2,0.373,0.157,0.148,0.175,0.789,0.47,4
40,Sylvia Fowles,MIN,C,2018,34,1087,40,0.441,13.5,0.685,23.4,0.9249999999999999,0.075,0.747,0.0,0.0,0.0,0
41,Cayla George,DAL,C,2018,23,245,41,0.077,7.2,0.709,16.6,0.218,0.28200000000000003,0.818,0.154,1.0,0.5,2
42,Allisha Gray,DAL,G,2018,34,907,42,0.383,5.2,0.993,15.9,0.43899999999999995,0.113,0.457,0.234,0.933,0.448,3
43,Chelsea Gray,LAS,G,2018,34,1111,43,0.243,1.8,1.778,22.3,0.32799999999999996,0.428,0.265,0.031,0.895,0.243,4
44,Brittney Griner,PHO,C,2018,34,1108,44,0.419,7.2,1.033,27.3,0.7090000000000001,0.28200000000000003,0.823,0.0,1.0,0.008,6
45,Marie Gulich,PHO,C,2018,23,115,45,0.276,9.9,0.098,18.2,0.5169999999999999,0.482,0.714,0.0,0.0,0.0,0
46,Jazmon Gwathmey,IND,G,2018,10,116,46,0.256,1.9,0.878,19.7,0.359,0.358,0.5,0.545,1.0,0.282,4
47,Dearica Hamby,LVA,F,2018,33,474,47,0.354,8.7,0.955,21.7,0.492,0.251,0.722,0.022,1.0,0.257,1
48,Linnae Harper,CHI,G,2018,24,146,48,0.213,3.3,1.589,18.8,0.42500000000000004,0.29800000000000004,0.267,0.077,1.0,0.277,4
49,Bria Hartley,NYL,G,2018,34,806,49,0.245,3.5,1.324,20.3,0.344,0.215,0.388,0.077,0.722,0.442,4
50,Tianna Hawkins,WAS,F,2018,32,532,50,0.093,8.0,0.465,19.5,0.487,0.131,0.625,0.071,1.0,0.383,1
51,Tiffany Hayes,ATL,G,2018,31,897,51,0.421,3.4,1.768,25.4,0.5289999999999999,0.14500000000000002,0.378,0.168,0.714,0.327,5
52,Myisha Hines-Allen,WAS,F,2018,24,252,52,0.325,13.6,0.711,18.3,0.575,0.388,0.286,0.333,1.0,0.038,0
53,Natasha Howard,SEA,F,2018,34,869,53,0.325,11.1,0.43,22.4,0.681,0.156,0.703,0.0,0.941,0.163,0
54,Briann January,PHO,G,2018,33,895,54,0.198,2.0,0.974,12.5,0.14300000000000002,0.307,0.367,0.23,0.979,0.549,3
55,Moriah Jefferson,LVA,G,2018,16,251,55,0.241,2.2,1.462,19.2,0.252,0.575,0.267,0.067,1.0,0.172,4
56,Glory Johnson,DAL,F,2018,29,652,56,0.289,8.5,0.655,17.7,0.45599999999999996,0.28,0.662,0.056,0.882,0.265,1
57,Alexis Jones,MIN,G,2018,26,229,57,0.088,2.6,0.836,22.1,0.21999999999999997,0.23099999999999998,0.188,0.08,0.75,0.549,4
58,Brionna Jones,CON,F,2018,27,242,58,0.516,11.3,0.207,16.9,0.7819999999999999,0.219,0.6,0.0,0.0,0.0,2
59,Jonquel Jones,CON,F,2018,34,697,59,0.292,11.6,0.855,22.3,0.499,0.107,0.667,0.028,0.98,0.395,0
60,Betnijah Laney,CON,G-F,2018,29,271,60,0.157,8.4,0.614,14.5,0.5860000000000001,0.286,0.375,0.222,1.0,0.129,2
61,Crystal Langhorne,SEA,F-C,2018,26,362,61,0.173,5.7,0.215,17.0,0.605,0.356,0.538,0.0,0.0,0.038,1
62,Erlana Larkins,MIN,F,2018,13,168,62,0.111,9.3,0.61,10.1,0.666,0.333,0.833,0.0,0.0,0.0,2
63,Jantel Lavender,LAS,F,2018,30,511,63,0.126,7.9,0.461,18.4,0.333,0.5660000000000001,0.846,0.0,1.0,0.101,1
64,Camille Little,PHO,F,2018,33,536,64,0.31,3.8,0.537,12.2,0.48,0.21000000000000002,0.92,0.129,1.0,0.31,3
65,Jewell Loyd,SEA,G,2018,34,1010,65,0.265,5.0,1.697,24.4,0.28300000000000003,0.296,0.339,0.21,0.806,0.421,5
66,Sancho Lyttle,PHO,F,2018,18,419,66,0.212,7.5,0.851,15.4,0.40700000000000003,0.5840000000000001,0.82,0.0,0.0,0.009,2
67,Stephanie Mavunga,IND,F,2018,25,194,67,0.341,14.0,0.19,14.4,0.7050000000000001,0.273,0.81,0.0,0.0,0.023,2
68,Kayla McBride,LVA,G,2018,31,1000,68,0.301,2.8,1.67,24.0,0.223,0.499,0.564,0.057,0.833,0.278,5
69,Erica McCall,IND,F,2018,34,418,69,0.174,12.2,0.548,14.1,0.532,0.395,0.683,0.25,1.0,0.073,2
70,Angel McCoughtry,ATL,F-G,2018,29,799,70,0.346,6.3,1.436,29.5,0.41300000000000003,0.4,0.463,0.211,0.905,0.188,6
71,Kelsey Mitchell,IND,G,2018,34,829,71,0.237,1.2,1.622,28.4,0.227,0.264,0.208,0.014,0.486,0.51,5
72,Leilani Mitchell,PHO,G,2018,31,461,72,0.107,2.7,1.13,17.3,0.16799999999999998,0.138,0.267,0.088,0.903,0.695,3
73,Tiffany Mitchell,IND,G,2018,34,871,73,0.313,3.1,1.186,19.8,0.45,0.344,0.272,0.317,0.875,0.206,4
74,Endy Miyem,MIN,F,2018,20,101,74,0.027,5.9,1.257,18.1,0.216,0.513,0.8,0.0,1.0,0.27,1
75,Alex Montgomery,CHI,G-F,2018,19,122,75,0.211,6.0,0.526,9.4,0.527,0.316,0.75,0.667,1.0,0.158,2
76,Renee Montgomery,ATL,G,2018,34,935,76,0.244,0.5,1.397,16.6,0.101,0.134,0.414,0.119,0.756,0.764,3
77,Maya Moore,MIN,F,2018,34,1081,77,0.228,5.2,1.564,26.8,0.256,0.4,0.535,0.094,0.697,0.343,6
