"Player","Team","Position","G","MP","PER","TSpct","3PAr","FTr","OREBpct","REBpct","ASTpct","STLpct","BLKpct","TOVpct","USGpct","OWS","DWS","WS","WS_40","Season"
"Natalie Achonwa","IND","F",24,195,17,0.575,0,0.303,10.4,15.6,5.7,2.7,0.4,13.8,20.2,0.4,0.3,0.6,0.13,2016
"Courtney Vandersloot","CHI","G",30,728,18,0.544,0.323,0.319,2.1,6.5,28,2.9,0.5,15.3,18.5,1.9,0.5,2.4,0.13,2016
"Jantel Lavender","LAS","F",34,659,18.2,0.552,0.004,0.147,7.5,11.9,12.2,0.8,2.1,11.9,24,1,1.1,2.1,0.126,2016
"Kayla Alexander","SAS","C",25,489,17,0.596,0,0.433,11.2,13.8,5.3,1.2,2.1,14.3,18.5,1.1,0.5,1.5,0.124,2016
"Courtney Paris","DAL","C",34,827,16.4,0.555,0.005,0.207,12.3,19,8.5,0.9,2.6,10.2,13.8,2,0.6,2.6,0.124,2016
"Stefanie Dolson","WAS","C",34,765,16.2,0.559,0.121,0.336,7.6,12.5,9.3,0.9,3.3,12.1,19.4,1.6,0.8,2.3,0.122,2016
"Diana Taurasi","PHO","G",33,984,18.4,0.563,0.558,0.338,0.8,6.1,24,1.6,0.3,14.1,28.2,2.3,0.7,3,0.122,2016
"Carolyn Swords","NYL","C",34,596,13.2,0.593,0,0.263,10.6,14.9,6.4,0.6,2.8,18.2,13.3,0.9,0.9,1.8,0.121,2016
"Keisha Hampton","MIN","F",27,183,10.3,0.521,0.632,0.404,3.5,3.3,7.9,2.2,1.3,13,18.7,0.2,0.3,0.5,0.119,2016
"Tayler Hill","WAS","G",32,937,17.1,0.512,0.429,0.469,1.7,5.4,18.4,2,0.3,7.7,25.6,2.2,0.6,2.8,0.118,2016
"Jewell Loyd","SEA","G",34,1075,18.2,0.543,0.292,0.325,4,6.7,19.9,2,0.7,12.8,25.7,2.2,1,3.2,0.118,2016
"Karima Christmas-Kelly","DAL","F-G",34,1075,16.5,0.541,0.375,0.506,8.3,10.8,11.6,1.9,1.6,11.5,17.7,2.7,0.4,3.1,0.116,2016
"Briann January","IND","G",29,816,14.4,0.547,0.341,0.406,2.8,4.1,26.9,2.3,0.3,16.6,17.1,1.8,0.6,2.4,0.116,2016
"Shekinna Stricklen","CON","F",28,306,13.2,0.508,0.74,0.135,3.3,7.5,7.6,2,0.5,3.5,16.1,0.6,0.3,0.9,0.115,2016
"Elizabeth Williams","ATL","C-F",34,1179,15.6,0.491,0.003,0.375,10.3,13.4,6.2,1.1,5,9.2,16.8,1.7,1.7,3.4,0.115,2016
"Alysha Clark","SEA","F",33,911,12.6,0.609,0.429,0.272,5.7,8.2,11.6,1.4,0.2,15.3,14.7,1.9,0.7,2.6,0.112,2016
"Glory Johnson","DAL","F",18,502,17.9,0.52,0.086,0.448,10.4,18.6,8.4,1.7,1.7,11.8,19,0.9,0.5,1.4,0.111,2016
"Devereaux Peters","IND","F",30,440,14.6,0.557,0.023,0.135,5.7,13.3,8.9,1.4,3.5,11.3,16.4,0.6,0.6,1.2,0.111,2016
"Jeanette Pohlen-Mavunga","IND","G",12,49,11,0.699,0.545,0.091,0,1.3,16.9,0,0,14.9,12.4,0.1,0,0.1,0.11,2016
"Sue Bird","SEA","G",34,1076,16.4,0.573,0.455,0.157,0.7,5.6,31.9,1.6,0.4,18.1,20.2,2,0.9,2.9,0.108,2016
"Amanda Zahui B.","NYL","C",33,374,14.8,0.536,0.126,0.48,12.9,15.7,5.5,1.5,4.7,19.4,22.4,0.2,0.8,1,0.107,2016
"Shavonte Zellous","NYL","G",33,770,13,0.519,0.115,0.535,2.7,5.9,15.4,1.9,0.6,13.6,18.4,1.1,1,2.1,0.107,2016
"Shenise Johnson","IND","G",29,651,16.4,0.532,0.326,0.268,5.2,10.1,16,2.8,1.3,15.2,22,0.8,0.9,1.7,0.105,2016
"Alana Beard","LAS","G-F",34,997,11,0.519,0.178,0.182,4.2,7,10.9,3,1.6,15.7,12.9,0.6,2,2.6,0.104,2016
"Sancho Lyttle","ATL","F",19,571,14.5,0.453,0.06,0.168,8.4,15,10.2,3.5,2.5,12.6,13.9,0.3,1.2,1.5,0.103,2016
