PLAYER,TEAM,AGE,FGM_ra,FGA_ra,FGpct_ra,FGM_paint,FGA_paint,FGpct_paint,FGM_mr,FGA_mr,FGpct_mr,FGM_left,FGA_left,FGpct_left,FGM_right,FGA_right,FGpct_right,FGM_break,FGA_break,FGpct_break,oFGM_ra,oFGA_ra,oFGpct_ra,oFGM_paint,oFGA_paint,oFGpct_paint,oFGM_mr,oFGA_mr,oFGpct_mr,oFGM_left,oFGA_left,oFGpct_left,oFGM_right,oFGA_right,oFGpct_right,oFGM_break,oFGA_break,oFGpct_break,GP,W,L,MIN,USGpct,pct_tm_FGM,pct_tm_FGA,pct_tm_3PM,pct_tm_3PA,pct_tm_FTM,pct_tm_FTA,pct_tm_OREB,pct_tm_DREB,pct_tm_REB,pct_tm_AST,pct_tm_TOV,pct_tm_STL,pct_tm_BLK,pct_tm_BLKA,pct_tm_PF,pct_tm_PFD,pct_tm_PTS,OFFRTG_gm,DEFRTG,NETRTG,ASTpct_gm,AST_TO,AST_RATIO,OREBpct_gm,DREBpct_gm,REBpct_gm,TO_RATIO,EFGpct_gm,TSpct_gm,PACE,PACE_40,PIE_gm,MPG,PTS_100,FGM_100,FGA_100,FGpct_100,3PM_100,3PA_100,3Ppct_100,FTM_100,FTA_100,FTpct_100,OREB_100,DREB_100,REB_100,AST_100,TOV_100,STL_100,BLK_100,PF_100,FP_100,DD2,TD3,plus_minus_100,MPP,pct_FGA_2pt,pct_FGA_3pt,pct_PTS_2pt,pct_PTS_2ptMR,pct_PTS_3pt,pct_PTS_fbps,pct_PTS_ft,pct_PTS_off_to,pct_PTS_paint,2FGM_ast,2FGM_uast,3FGM_ast,3FGM_uast,FGM_ast,FGM_uast
CIERRA BURDICK,LVA,27,0.2,0.2,100,0,0,0,0.1,0.8,16.7,0,0,0,0,0,0,0,0,0,1.2,1.2,100,0.4,0.8,50,0.3,0.9,28.6,0.5,0.5,100,0,0,0,0.4,1.8,25,13,12,1,28,12.3,11.8,17.5,0,0,0,0,50,21.1,23.8,33.3,7.1,0,0,0,14.3,33.3,10,66.7,100,-33.3,13.3,2,20,4.2,16,10.2,10,28.6,28.6,101.76,84.8,3.3,2.2,6.7,3.3,11.7,28.6,0,0,0,0,0,0,1.7,6.7,8.3,3.3,1.7,0,0,3.3,20,0,0,-31.7,46.8,100,0,100,50,0,0,0,0,50,100,0,0,0,100,0
COURTNEY VANDERSLOOT,CHI,31,2.1,2.8,74.2,0.5,2.2,25,0.9,1.5,59.4,0,0.1,50,0.1,0.1,100,1.3,3.2,39.4,9.3,14.6,63.6,5.5,14.6,38,5.3,12.5,42.5,0.5,1.1,43.5,0.3,0.8,37.5,4.2,11.4,36.8,22,12,10,693,18.7,17.5,18,20,19.2,25.2,23.3,8.6,14.6,13.3,54.5,21.2,19.1,10.4,12.1,15.3,24.4,18.8,110.6,101.3,9.3,43.7,4.07,42.3,1.8,9.6,5.9,10.4,56,61,99.7,83.08,15.1,31.5,20.8,7.4,15.1,49.1,2.1,5.3,39.5,3.9,4.4,88.9,0.8,4.6,5.3,15.3,3.7,1.8,0.6,3.2,53.5,9,0,9.6,48.1,65.1,34.9,51.3,12.7,30,6.3,18.7,14,38.7,20.8,79.2,80,20,37.4,62.6
COURTNEY WILLIAMS,ATL,26,0.7,1.2,60.9,1.7,3.7,45.2,4,8.9,44.6,0,0.2,0,0,0,0,0.4,1.6,25.8,7.1,10.4,68.6,6.4,13.2,48.7,5.7,12.4,45.6,0.6,1.3,45.8,0.7,1.7,41.4,4.1,13,31.7,20,6,14,609,25.9,27.6,27.8,9.2,14,9.5,10.2,24.2,27.7,26.7,24,26.6,12.5,4,18.9,15,10.7,23.8,99,108,-9.1,17.9,1.17,14.5,5.7,18.7,11.8,12.5,45,46,97.38,81.15,10.2,30.5,23.6,10.8,24.8,43.6,0.6,2.7,23.5,1.3,1.9,69.6,3,8.6,11.5,5.1,4.4,1,0.2,3.1,44.3,4,0,-8.6,49.2,88.9,11.1,86.3,54.1,8.2,11,5.5,21.6,32.2,42.1,57.9,75,25,44,56
CRYSTAL DANGERFIELD,MIN,22,1.6,2.5,64.2,1.6,2.9,55.7,1,2.2,46.8,0,0.1,0,0.1,0.1,50,1.6,4.7,33.7,7.8,10.5,73.8,5,11.6,43,4.2,11.6,36.1,0.7,1.6,43.8,0.5,1.5,36,4.6,13.7,33.4,21,13,8,629,23.9,25.5,24.9,25.8,28.8,25.4,22.9,3.5,9.1,7.6,23.9,22.9,13.3,2,13,12.3,20,25.5,105.7,101.2,4.5,20.7,1.42,17.9,0.8,6,3.4,12.6,53.6,58.6,96.24,80.2,11.1,30,27,9.8,20.8,47.1,2.7,8.1,33.3,4.7,5.1,92.2,0.4,2.8,3.2,5.9,4.2,1.4,0.1,2.5,40.1,0,0,4.9,49.8,61.2,38.8,52.8,12.9,29.9,7.9,17.3,19.4,39.9,30,70,79.4,20.6,43.5,56.5
CRYSTAL LANGHORNE,SEA,34,0.2,0.2,100,0.2,0.5,33.3,0.1,0.2,33.3,0,0,0,0,0,0,0.1,0.4,20,1.4,2.1,66.7,0.9,2.5,37.5,1.6,4.4,36.8,0.8,1.4,57.1,0.1,0.4,25,1.2,5.1,22.7,13,11,2,107,12.7,9.5,10.2,3.7,7.5,8.3,13.3,27.3,33.8,32.9,10.9,25.6,5,14.3,16.7,12.7,19.4,8.5,96.3,100.9,-4.5,9,0.55,16.7,3.1,19.8,12.6,30.6,44.1,45.8,99.27,82.72,5.8,8.2,8.2,3.2,7.8,41.2,0.5,2.3,20,1.4,2.7,50,1.4,11.4,12.8,2.7,5,0.5,0.5,3.2,25.4,0,0,-6.4,48.8,70.6,29.4,66.7,11.1,16.7,0,16.7,33.3,55.6,66.7,33.3,0,100,57.1,42.9
DAMIRIS DANTAS,MIN,28,1.4,1.9,73.2,1,2.5,38.2,0.5,1.5,35.3,0.1,0.1,50,0,0,0,1.7,4,43.2,6.1,8.1,75.8,4.6,10.2,45.1,4.1,10.9,38.1,0.8,1.6,46.9,0.5,1.5,31.8,4.1,11.5,35.6,22,14,8,586,21.2,22.6,22,31.2,28.1,19.5,21.8,24.7,26.9,26.2,18.8,19.4,18.8,13.9,20.3,24.2,23.2,23,106.4,101,5.4,16.6,1.45,17,6.5,18.5,12.2,11.7,55.2,57.9,95.47,79.56,12.3,26.6,24.4,8.8,19,46.4,3.4,7.8,43.3,3.5,4.7,72.7,3.2,8.4,11.6,5,3.5,2.2,0.4,4.8,50.2,1,0,4.1,50.6,59.1,40.9,44.5,8.5,41.3,1.8,14.1,18,36,81,19,100,0,88.2,11.8
DANIELLE ROBINSON,LVA,31,1.2,1.6,72.2,0.8,1.9,42.9,0.6,1.4,43.3,0,0.1,0,0,0,0,0.2,0.5,45.5,5.8,8.4,69,3.4,8.6,39.7,3.8,9.7,38.8,0.6,1.7,34.6,0.3,1.1,26.7,3.2,10.5,30.3,22,18,4,492,14.7,15.5,14.6,9.6,9,14.5,14.5,5.6,13.5,11.9,28,18.7,17.9,5.3,10.8,20.3,18.3,15,105.7,94,11.7,21.2,2.57,29.9,1.1,9.3,5.5,11.6,53.3,58.4,100.06,83.38,10,22.4,15.8,6,11.7,51.2,0.5,1.3,38.5,3.3,4.1,81,0.5,4.7,5.1,7,2.7,1.8,0.2,3.7,35.9,0,0,12.4,47.8,89.3,10.7,69.9,16,9.2,8.6,20.9,23.3,54,47.4,52.6,100,0,51.6,48.4
DEARICA HAMBY,LVA,27,3,4.2,72,1,2.5,41.1,0.1,0.8,11.8,0.1,0.2,66.7,0,0,0,0.7,1.5,47.1,7.4,10.5,69.8,4.1,11,37.4,4.5,12.2,36.8,0.5,1.6,32.1,0.3,1.2,23.8,4.5,13.8,32.7,22,18,4,622,19.5,22,19.7,29,20.9,16.2,18.1,24.8,28.6,27.8,18.9,22.8,28.9,8.2,31.3,19.5,18,21,106.3,96.3,10.1,15.3,1.33,17.8,5,19.5,12.8,13.3,58.3,61.2,98.77,82.31,15,28.3,22.3,8.6,15.9,53.9,1.4,3,47.4,3.8,5.2,71.6,2.2,10.1,12.3,4.7,3.5,2.9,0.3,3.9,50.2,4,0,10.1,48.6,81.4,18.6,64.3,1.4,18.9,14.7,16.8,25.5,62.9,67.4,32.6,100,0,72.7,27.3
DEWANNA BONNER,CON,33,2.5,3.8,66.3,1.6,3.7,44.4,1.4,3.6,37.5,0.1,0.2,33.3,0,0.1,0,1.2,4.6,25.5,8.6,12.6,68.3,5.7,13.6,41.7,4.4,12.4,35.7,0.3,1.5,20.8,0.4,1.1,33.3,4.4,13.5,32.3,22,10,12,732,26.8,26.7,27.9,27,32.5,40.4,34.4,19.3,29.2,26.5,18.9,20.4,21.6,21.8,18.5,14.4,32.3,29.2,101.5,96.7,4.8,16,1.25,12.5,4.6,19.9,12,10,46,53.5,96.24,80.2,16.6,33.3,29.7,10.1,24,42.2,1.8,7.3,25.2,7.6,8.5,89.5,2.3,9.4,11.8,4.4,3.6,2.5,0.8,3.2,56.9,5,0,4.2,50,69.5,30.5,55.8,13.8,18.7,8.1,25.6,26.5,41.9,40.5,59.5,66.7,33.3,45.3,54.7
DIAMOND DESHIELDS,CHI,25,1.2,1.5,75,0.7,1.8,39.1,0.7,1.7,40.9,0.1,0.2,50,0,0.3,0,0.2,1.1,14.3,4.1,6.5,63.1,3.2,8.6,37.5,3.2,7.5,42.3,0.2,0.7,25,0.5,0.8,60,2.2,6.7,33.3,13,9,4,224,22.6,19.9,22.4,7.9,15.9,26.4,25.4,8.3,13.1,12.2,16.4,28.3,26.7,5,35.7,25.5,20.9,19.6,93.6,95.4,-1.8,13.8,0.67,14.3,1.5,8.6,5.3,21.4,45.2,48.9,103.21,86.01,4.8,17.2,18.4,7.4,17.1,43.4,0.6,3.7,16.7,2.9,3.7,77.8,0.6,4.1,4.8,4.1,6.2,2.5,0.2,5.6,32.1,0,0,-1,46.3,78.3,21.7,74.2,20.2,10.1,21.3,15.7,34.8,53.9,63.6,36.4,100,0,66.7,33.3
