PLAYER,TEAM,AGE,FGM_ra,FGA_ra,FGpct_ra,FGM_paint,FGA_paint,FGpct_paint,FGM_mr,FGA_mr,FGpct_mr,FGM_left,FGA_left,FGpct_left,FGM_right,FGA_right,FGpct_right,FGM_break,FGA_break,FGpct_break,oFGM_ra,oFGA_ra,oFGpct_ra,oFGM_paint,oFGA_paint,oFGpct_paint,oFGM_mr,oFGA_mr,oFGpct_mr,oFGM_left,oFGA_left,oFGpct_left,oFGM_right,oFGA_right,oFGpct_right,oFGM_break,oFGA_break,oFGpct_break,GP,W,L,MIN,USGpct,pct_tm_FGM,pct_tm_FGA,pct_tm_3PM,pct_tm_3PA,pct_tm_FTM,pct_tm_FTA,pct_tm_OREB,pct_tm_DREB,pct_tm_REB,pct_tm_AST,pct_tm_TOV,pct_tm_STL,pct_tm_BLK,pct_tm_BLKA,pct_tm_PF,pct_tm_PFD,pct_tm_PTS,OFFRTG_gm,DEFRTG,NETRTG,ASTpct_gm,AST_TO,AST_RATIO,OREBpct_gm,DREBpct_gm,REBpct_gm,TO_RATIO,EFGpct_gm,TSpct_gm,PACE,PACE_40,PIE_gm,MPG,PTS_100,FGM_100,FGA_100,FGpct_100,3PM_100,3PA_100,3Ppct_100,FTM_100,FTA_100,FTpct_100,OREB_100,DREB_100,REB_100,AST_100,TOV_100,STL_100,BLK_100,PF_100,FP_100,DD2,TD3,plus_minus_100,MPP,pct_FGA_2pt,pct_FGA_3pt,pct_PTS_2pt,pct_PTS_2ptMR,pct_PTS_3pt,pct_PTS_fbps,pct_PTS_ft,pct_PTS_off_to,pct_PTS_paint,2FGM_ast,2FGM_uast,3FGM_ast,3FGM_uast,FGM_ast,FGM_uast
DIANA TAURASI,PHO,38,0.4,0.6,72.7,0.4,1,36.8,1.1,2,52.6,0,0.1,0,0,0.1,0,3.2,8.7,37,7.9,12.1,65.5,4.5,13.3,33.6,3.9,10.5,37.2,0.4,1.3,30,0.4,1,37.5,4.3,11.8,36.4,19,11,8,533,26.7,23.6,26.4,50.4,49.9,46,42.2,2.2,21.9,17.8,30.8,22.3,25,9.6,7.1,18.5,38,30.8,104.2,102.4,1.8,27.7,1.95,20.8,0.4,13.7,7.4,10.7,53.8,62.5,100.23,83.53,16.4,28.1,32.1,8.6,21.2,40.9,5.5,15,36.5,9.3,10.2,91.2,0.2,6.9,7.1,7.7,4,1.7,0.7,4.7,55.6,2,0,1.3,48,28.9,71.1,19.7,11.2,51.4,12.6,28.9,16,8.4,48.6,51.4,63.9,36.1,58.3,41.7
ELIZABETH WILLIAMS,ATL,27,2.8,4.6,60.4,1.2,3,38.8,0,0.5,0,0,0,0,0,0,0,0,0,0,7.1,10.2,69.3,6.1,13.5,45.3,4.9,11.8,41.7,0.6,1.3,48,0.6,1.6,39.3,4,12.8,31,22,7,15,642,15.3,17,15.3,0,0,24.1,26.4,33.8,18.1,22.2,11.2,10.8,15.7,56.6,31.3,19.1,24.4,16.9,99.5,106.6,-7,7.3,1.24,11.7,7.3,12,9.5,9.5,48.9,53.9,98.93,82.44,8.8,29.2,16.9,6.6,13.5,48.9,0,0,0,3.7,5,74.2,3.7,5.7,9.4,2.3,1.9,1.3,2.3,4.3,40.5,3,0,-7.2,48.6,100,0,78,0,0,5.4,22,13.5,78,72.4,27.6,0,0,72.4,27.6
EMMA CANNON,LVA,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.33,146.94,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMMA MEESSEMAN,WAS,27,1.2,1.9,60.5,2.1,4.2,50,1.6,3.7,42.5,0,0.1,0,0,0,0,0.7,2.2,30.2,7,10,69.8,6.4,13.7,46.7,5,12.8,39.1,0.1,1.1,10.5,0.5,1,45,5.1,13.3,38,20,9,11,634,21,22.9,22.1,10.2,11.7,14.9,15.2,29.2,18.8,21.2,27.7,19.2,20.7,50,11.1,13.9,16.9,20.4,101.2,102.2,-1,24.5,2.25,23.3,5.3,12.4,8.7,10.4,48.1,50.9,95.14,79.28,12.1,31.7,20.7,8.7,19.1,45.4,1,3.6,28.9,2.3,2.8,82.9,2.6,5.8,8.4,7.1,3.2,1.9,1.3,2.8,47.8,3,0,-0.8,50.4,81.3,18.8,73.8,23.8,15,9.2,11.2,16.2,50,77.1,22.9,100,0,79.8,20.2
EPIPHANNY PRINCE,SEA,33,0,0.1,0,0.4,1.1,37.5,0.5,0.8,58.3,0,0,0,0,0,0,0.6,1.8,33.3,3,4.5,67.2,1.4,4.1,34.4,2.1,5.2,39.7,0.3,1.1,22.2,0.1,0.5,16.7,1.5,5.9,25,15,11,4,190,17.7,15.4,18.7,31,30.3,15.9,15.5,4,13.9,12.2,23.3,17.9,14.6,14.3,18.2,21.4,16.2,16.7,100.3,94.7,5.6,17.4,1.75,22.1,0.6,8.8,4.9,12.6,46.5,51,98.46,82.05,6.3,12.7,16.7,5.7,14.9,38.6,2.3,7,33.3,2.9,3.4,84.6,0.3,4.4,4.7,5.5,3.1,1.6,0.5,5.7,33.7,0,0,2.3,49.6,52.6,47.4,40.6,21.9,42.2,3.1,17.2,17.2,18.8,15.4,84.6,55.6,44.4,31.8,68.2
ERICA MCCALL,MIN,25,0.6,0.8,73.3,0,0.6,0,0.2,0.7,28.6,0,0,0,0,0,0,0.1,0.2,25,1.8,2.7,66.7,1.8,4.1,43.2,1.3,3.5,37.7,0.4,0.7,50,0.4,0.8,50,1.3,4.6,28.7,20,13,7,183,14.7,11.4,15,2.9,4.1,21.7,21.4,45.1,25.5,32,3.7,12,15.8,43.8,18.2,29.3,18,12.8,107.3,99.5,7.8,2.4,0.33,4.5,13.3,14.1,13.7,13.4,36.7,46.6,97.06,80.88,6.1,9.2,13.7,4.3,12.1,35.6,0.3,1.1,25,4.9,5.9,81.8,6.2,7,13.2,0.8,2.4,1.6,1.9,6.5,38.9,0,0,8.1,49.4,91.1,8.9,58.8,15.7,5.9,7.8,35.3,23.5,43.1,80,20,100,0,81.3,18.8
ESSENCE CARSON,CON,34,0.2,0.4,50,0.2,0.9,21.1,0.5,1.3,35.7,0.1,0.2,50,0,0.1,0,0.5,2,26.8,4,5.4,74.3,3,6.2,48.1,1.5,4.4,33.7,0.3,0.7,42.9,0.3,0.8,42.9,2.3,6.2,37.4,21,9,12,290,17.8,16,20.5,20.3,25.7,6.6,8.8,12.5,15.1,14.5,10.6,13.6,16.4,15.4,31.6,15.7,10.5,14.9,87.3,102.5,-15.2,7.6,0.75,9.1,2.3,10.4,6.1,12.1,36.4,37.7,99.26,82.71,2.4,13.8,13,5,16.5,30.3,2,7.3,27.3,1,1.7,60,1.2,4.7,5.8,2,2.7,1.5,0.3,3.5,25.8,0,0,-15.2,48.4,55.6,44.4,46.2,25.6,46.2,5.1,7.7,15.4,20.5,77.8,22.2,100,0,86.7,13.3
EZI MAGBEGOR,SEA,21,1.7,2.4,71.7,0.9,2,44.4,0.1,0.4,37.5,0,0,0,0,0,0,0,0.1,33.3,3.5,5,70.6,1.5,4.5,33.7,1.9,5.1,36.6,0.5,1.4,38.1,0.1,0.6,12.5,1.6,6,26.5,22,18,4,292,18.9,26.4,22.1,1.9,2.1,15.6,17.4,43.9,15.8,22.5,4.8,8.3,17.9,50,27.6,29.5,17.9,22.4,105.4,93.2,12.2,4,0.78,5.1,9.1,9.8,9.5,6.6,57.3,59.6,101.35,84.46,10.6,13.3,23.6,10.1,17.8,56.9,0.2,0.5,33.3,3.1,4.4,70.4,4.1,4.7,8.8,1.1,1.5,2,2.6,7,48.2,0,0,10.8,47.7,97.2,2.8,84.7,4.2,2.1,2.8,13.2,24.3,80.6,68.9,31.1,100,0,69.4,30.6
GABBY WILLIAMS,CHI,24,1.2,1.6,74.3,0.5,1.2,37,0.5,1.2,42.3,0.1,0.2,33.3,0,0.1,0,0.9,2.9,29.7,7,10.5,66.8,4.5,11,40.7,4.5,10.7,41.5,0.6,1.2,47.1,0.3,0.8,38.5,3.3,9.2,36.1,22,12,10,546,16.3,15.6,17.3,21.5,24.3,8.5,10.8,18.9,19.5,19.4,16.1,17.3,26.9,11.4,16.2,13.4,11.7,14.9,100.9,101.6,-0.7,12.1,1.19,17.6,4,12.8,8.5,14.8,48.7,50.3,99.5,82.92,8,24.8,15,5.9,14,42.4,1.8,6.2,28.6,1.4,2.2,64,1.8,6,7.8,3.9,3.3,2.6,0.4,2.8,36,0,0,-0.9,48.3,55.7,44.3,55.3,12.9,35.3,10.6,9.4,21.8,42.4,61.7,38.3,100,0,73.1,26.9
GLORY JOHNSON,ATL,30,0.4,0.5,77.8,0.4,0.9,47.1,0.3,0.8,33.3,0,0,0,0,0,0,0.6,2.3,26.2,3.6,5.3,68.4,3.3,7.6,43.4,2.3,5.9,39.3,0.9,1,85.7,0.4,0.9,44.4,1.8,6.4,28.4,18,5,13,272,16.6,15.3,17.8,26.2,33.1,13.8,19,11.9,36.4,29.9,10.2,12.3,28.3,33.3,12,20.8,16.4,15.9,94,102.7,-8.6,6.4,0.85,9.3,2.5,22.1,12.1,11,44,45.4,99.82,83.18,8.6,15.1,15,5.5,14.6,37.3,1.9,7.4,26.2,2.1,4.2,50,1.2,10.6,11.8,1.9,2.3,2.6,1.2,4.8,41.4,0,0,-8.5,48,49.4,50.6,47.1,11.8,38.8,4.7,14.1,20,35.3,70,30,100,0,80.6,19.4
ISABELLE HARRISON,DAL,27,0.9,1.4,66.7,1.1,2.5,43.8,0.6,1.8,34.8,0,0,0,0,0,0,0,0.2,0,4.8,7.3,66.3,4.8,10.7,45.3,2.5,6.6,38.4,1,2.3,44.4,0.3,0.6,40,2,6,33.3,13,5,8,258,16.8,17.3,17.2,0,2,17.4,17.4,37.3,25.2,28,18.2,19.8,16.1,26.3,21.4,25,21,15.6,99.6,101.9,-2.3,11,1,15.1,7.4,16.8,12,15.1,44.7,49.2,98.71,82.26,7.8,19.9,15.5,6.4,14.2,44.7,0,0.6,0,2.8,3.6,78.9,3.6,7.7,11.2,3.4,3.4,1.7,0.9,6,38.6,1,0,-1.3,48.4,96.1,3.9,81.9,19.3,0,0,18.1,16.9,62.7,58.8,41.2,0,0,58.8,41.2
JACKI GEMELOS,WAS,32,0.2,0.4,50,0.2,0.4,42.9,0.2,0.5,50,0.2,0.4,50,0,0.1,0,0.4,1.8,23.3,2.8,4.5,62.3,2.3,4.8,47.7,2.1,4.9,41.7,0.1,0.5,20,0.4,1,44.4,2,4.8,42,18,7,11,222,14.1,12.2,15.3,18,23.8,3.1,4.7,7.1,13.6,11.9,13.8,15.2,15.8,7.1,11.8,20.9,3.8,11.5,97,101.1,-4.1,10.9,1.25,17.6,1.4,8.5,4.7,14.1,42,42.4,94.67,78.89,2.7,12.4,11.1,4.3,12.7,33.9,2,8,25.7,0.5,0.9,50,0.7,3.6,4.3,3.4,2.7,1.4,0.2,4.1,23.5,0,0,-3.4,50.5,37.5,62.5,40.8,16.3,55.1,16.3,4.1,14.3,24.5,80,20,88.9,11.1,84.2,15.8
JACKIE YOUNG,LVA,23,1,1.5,68.8,1.6,3.5,46.8,1.5,3,47.8,0,0,0,0,0,0,0.1,0.6,23.1,6.4,9.4,68,3.8,10.5,36.4,4.1,11.6,35.7,0.4,1.4,28.6,0.3,1.3,26.3,4,12.4,32.7,22,18,4,568,19,20.5,19.9,5.2,7.9,20.4,19.3,16.7,18.3,18,23.9,18.9,13.2,4.4,15.2,17.2,20,19.7,104.1,93.7,10.4,18.6,1.91,21.3,3.4,12.5,8.3,11.1,50,55.8,99.02,82.52,12.2,25.8,20.5,7.9,16.1,49.2,0.3,1.1,23.1,4.4,5.2,85.2,1.5,6.6,8.1,5.7,3,1.3,0.2,3.3,40.2,0,0,10.5,48.5,93.1,6.9,74.7,26.6,3.7,10,21.6,21.2,48.1,37.8,62.2,100,0,39.8,60.2
JASMINE THOMAS,CON,31,1,1.7,57.6,0.4,1.6,26.7,1.5,3.3,45.2,0.1,0.4,33.3,0.1,0.1,100,1,3.1,32.7,6.4,9.2,70.1,4.7,10.7,43.6,3.6,9.3,38.4,0.3,1.1,25,0.3,1,30,3.6,10.9,32.5,19,9,10,485,21.5,19.6,22.1,33.3,30.7,12.8,10.5,3.7,9.7,8.1,30.8,27.1,18.9,15.6,17.9,14.5,14,19.3,102.3,95.3,7,24.4,1.65,23.8,0.8,6.5,3.6,14.4,46,49,96.9,80.75,8.8,25.5,19.8,7.8,19.2,40.4,2.1,6.4,33.3,2.1,2.3,91.3,0.4,3,3.4,7.8,4.7,2.4,0.5,3.1,39.7,0,0,7.1,49.5,66.5,33.5,56.7,28.9,32.5,10.3,10.8,21.6,27.8,36.4,63.6,95.2,4.8,52.6,47.4
JAYLYN AGNEW,ATL,23,0,0,0,0.1,0.1,100,0,0.1,0,0.5,0.5,100,0,0,0,0.2,1,16.7,1.8,3,60,0.6,2.2,26.9,1,2.1,48,0,0,0,0.3,0.5,50,1.8,3,61.1,12,4,8,71,12.8,7.5,12.2,16.7,24.1,17.4,13.2,0,12.2,8.3,10.3,17.2,0,0,0,18.4,10.3,10.2,98,115.6,-17.6,6.1,0.6,12,0,7.8,3.5,20,36.7,43.6,102.12,85.1,-0.4,6,10,2.7,10,26.7,2,8.7,23.1,2.7,3.3,80,0,3.3,3.3,2,3.3,0,0,4.7,13.7,0,0,-20.7,47.6,13.3,86.7,13.3,0,60,20,26.7,73.3,13.3,100,0,100,0,100,0
JAZMINE JONES,NYL,24,1.5,2.2,68.2,0.7,2.6,26.9,0.5,1.5,33.3,0.1,0.1,100,0,0.1,0,0.7,2,32.5,5.8,8.5,68,4.3,10.3,42,4,10.7,37.6,0.2,0.6,36.4,0.2,0.7,33.3,3.1,9.2,33.7,20,2,18,428,25.7,24.1,23.5,20,16.5,37.5,39,19.8,21.6,21.2,27.1,29.5,39.4,18.8,17.9,26.8,32.8,26.5,89.5,104.8,-15.3,20.7,0.79,14.6,3.9,13.5,8.8,18.4,44.7,52.4,102.73,85.61,9.6,21.4,23.7,7.6,18.8,40.4,1.6,4.9,33.3,6.9,8.8,78.8,2,6.9,8.9,4.9,6.3,3.1,1,6.5,47.7,0,0,-16.2,46.9,73.7,26.3,50,9.3,20.8,16.2,29.2,28.2,40.7,31.5,68.5,93.3,6.7,44.9,55.1
JEWELL LOYD,SEA,27,1.2,1.7,71.1,0.7,2.1,32.6,1.4,3.1,44.9,0.4,0.7,61.5,0,0.1,0,1.4,3.9,36.5,7.1,10.7,66.1,4.1,11.4,36,4,11.4,34.8,0.4,1.4,28.6,0.6,1.3,45.8,3.8,12.1,31.6,22,18,4,613,23.5,22.9,24.1,29.8,30.1,32,30.2,11.5,9.3,9.8,20.8,19.3,19,10,21.7,14.4,26.9,25.2,107,92.3,14.6,18.6,1.67,17.4,2.4,6,4.3,10.4,52,58.3,98.98,82.48,12.2,27.8,26.9,8.9,20,44.3,3.1,7.9,39,6.1,7,87.5,1.1,3,4.1,5.5,3.3,2.5,0.5,2.7,45.9,0,0,14.5,48.5,60.5,39.5,42.9,18.2,34.4,6.8,22.6,19.4,24.7,46.6,53.4,87.2,12.8,60.7,39.3
JOCELYN WILLOUGHBY,NYL,22,0.6,1.6,36.1,0.1,0.9,15.8,0.4,0.8,47.1,0,0.1,0,0,0,0,0.7,1.6,41.7,3.9,6,64.7,3.5,7.8,44.8,3.3,8.5,38.3,0.3,0.8,36.4,0.3,0.8,33.3,2.6,7.1,36.9,22,2,20,383,17.4,17,17.1,22.4,14.9,21,20.8,17.9,15,15.7,14.4,19.3,23.4,16.2,29.6,25.8,21.8,18.4,86.2,106,-19.8,10.5,0.65,11.2,3.6,9.7,6.5,17.3,42.7,50.2,100.6,83.83,4.6,17.4,15.9,4.8,13.5,35.8,1.9,4.6,40.5,4.3,5.2,83.3,1.9,4.7,6.6,2.5,3.9,1.9,0.7,6.2,31.5,0,0,-19,47.5,66.1,33.9,37.5,12.5,35.2,3.1,27.3,12.5,25,66.7,33.3,100,0,79.5,20.5
JORDIN CANADA,SEA,25,1.4,2,67.5,0.6,1.8,33.3,0.8,2.3,35.6,0,0,0,0,0,0,0.1,0.6,9.1,6.2,8.9,69.1,2.6,8.7,29.3,3.4,10.2,33,0.5,1.5,33.3,0.4,0.9,43.8,3.5,10.8,32.1,20,16,4,483,17.8,15.3,16,1.1,4.5,23.9,25.3,10.8,11.3,11.1,44,23.8,24.8,0,27,16.9,27.8,15.5,102.1,91.3,10.8,35,2.73,35.4,2.1,7.2,4.7,13,42.8,50,98.5,82.09,11.1,24.2,15.8,5.7,13.3,42.4,0.1,1.1,9.1,4.4,5.8,77.2,1,3.6,4.6,11,4,3,0,3.5,43,0,0,10.6,48.8,91.7,8.3,70.1,20.4,1.9,19.1,28,26.8,49.7,23.6,76.4,100,0,25,75
JOYNER HOLMES,NYL,22,0.6,1.1,55.6,0.4,0.7,53.8,0.1,0.7,15.4,0,0.1,0,0.2,0.2,100,0.1,1.4,7.7,2.9,3.9,73.1,2.2,5.4,39.8,1.8,5.3,34.7,0.3,0.7,40,0,0.3,0,1.4,3.9,35.7,19,1,18,190,19.7,18.6,21.5,10,20.1,12.5,13.5,34.9,27.3,29.1,18.6,19.1,8,11.1,23.5,13.9,10.9,16.6,83.9,104.6,-20.8,13.5,1,12.6,6.7,17.4,11.8,12.6,32.6,36.2,102.51,85.42,6.2,10,13.9,5.5,17.9,30.6,0.7,6.9,10.7,2.2,3,75,3.7,8.9,12.7,3.2,3.2,0.5,0.5,3.5,33.7,1,0,-22.6,47.2,61.1,38.9,67.9,7.1,16.1,3.6,16.1,19.6,60.7,52.6,47.4,100,0,59.1,40.9
JULIE ALLEMAND,IND,24,0.4,0.5,66.7,0.2,0.5,36.4,0.2,0.8,27.8,0.1,0.1,100,0,0,0,2,4.1,47.8,10.3,15.5,66.3,6.7,14.2,47.1,5.3,13.6,39.1,0.7,1.5,44.4,0.3,0.8,31.3,4.1,10.8,37.8,22,6,16,716,12.5,11.6,11.3,33.6,25.3,8.2,9.1,5.5,21.4,17.4,36.7,21,27.5,15.5,5.6,18.3,11.8,12.9,101.5,114.5,-13,27.4,2.21,38.7,1.2,13.8,7.4,17.5,62.4,64.3,95.74,79.78,9.5,32.6,13.1,4.3,9.3,45.9,3.1,6.4,47.8,1.5,2.1,73.3,0.6,6.4,7,8.9,4,1.7,0.6,4,38,0,0,-12.3,50,30.8,69.2,18.1,5.3,70.2,2.1,11.7,17,12.8,29.4,70.6,81.8,18.2,67.2,32.8
KAELA DAVIS,ATL,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2,75,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.1,128.6,-71.4,0,0,0,0,0,0,0,0,0,134.94,112.45,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.4,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAHLEAH COPPER,CHI,26,2.6,3.6,71.3,1,2.6,40.4,1.4,3.1,45.6,0.1,0.1,50,0.1,0.1,100,0.9,2.6,32.8,8.8,13.9,63.3,5.5,14.1,39.2,5.2,12.6,41.2,0.5,1.2,43.5,0.4,0.8,53.3,4.3,11.9,36.4,22,12,10,688,21.8,22.5,22.5,15.8,16.7,18.6,21.2,16.9,22,20.9,12.3,20.8,16.2,7.1,27.9,16.8,20.9,21.4,107.2,102.7,4.5,10.4,0.87,12,3.4,14.4,9.2,13.8,53.6,56.1,99.11,82.59,9.7,31.3,22.9,9.3,18.7,49.6,1.5,4.3,34.4,2.9,3.9,73.2,1.5,7,8.4,3.3,3.8,1.5,0.4,3.7,39.6,0,0,4.8,48.3,77.1,22.9,68.1,19,19.3,12.3,12.6,22.1,49.1,52.3,47.7,100,0,59.8,40.2
KAILA CHARLES,CON,22,0.7,1,63.6,0.5,1.5,34.5,0.2,0.8,31.3,0,0,0,0.1,0.2,50,0.5,1.3,35.7,4.7,7.3,63.6,2.8,7.2,39.2,2.5,6.7,37.1,0.4,1.4,27.3,0.3,1,30,2.2,6.7,32.9,21,10,11,376,14.7,14.6,14.7,24.4,18.5,15.6,16.5,20.7,13.7,16,12.8,14.5,18.4,19.4,13.9,25.1,15.4,15.4,98,97.7,0.3,8.1,1,12.7,5.6,8.9,7.1,12.7,46.9,51.1,95.98,79.98,5.8,17.9,15.1,5.3,13,41.2,1.5,4,36.7,2.9,4.1,71,3.1,4.1,7.2,2.5,2.5,2.1,0.9,6,34.2,0,0,-0.3,50.1,69.1,30.9,51.3,8.8,29.2,8.8,19.5,16.8,42.5,44.8,55.2,90.9,9.1,57.5,42.5
KALANI BROWN,ATL,23,1,1.4,69.2,0.1,0.6,16.7,0.2,0.4,50,0,0,0,0,0,0,0,0,0,1.3,2.2,60,1,2.5,40,0.7,1.9,36.8,0,0.5,0,0.3,1,33.3,1.5,3.8,39.5,10,3,7,61,22.9,26.7,22.8,0,0,35.3,32.3,33.3,20,22.2,0,23.8,16.7,33.3,40,37,26.7,26.3,88.4,102.3,-14,0,0,0,4.9,14.5,9.8,15.6,52.2,54.7,101.25,84.37,6.3,6.1,23.3,9.3,17.8,52.2,0,0,0,4.7,7.8,60,2.3,7,9.3,0,3.9,0.8,0.8,7.8,35.2,0,0,-14,47.4,100,0,80,13.3,0,0,20,6.7,66.7,75,25,0,0,75,25
KAMIAH SMALLS,IND,22,0.1,0.3,50,0,0.4,0,0.1,0.4,33.3,0.2,0.5,33.3,0,0,0,0.9,1.3,66.7,4.6,7,65.3,2.7,6.7,40.4,1.7,5.7,30,0.5,0.5,100,0,0.3,0,2.3,6.4,35.6,7,1,6,100,9.2,12.7,12,41.2,27.3,4.3,3.4,15.6,4.5,8.2,25,4.2,8.3,7.1,21.4,7.7,4.1,13.1,97.6,108.4,-10.7,22.6,7,37.8,5.1,2.8,3.9,5.4,62.5,64.7,99.63,83.02,8.9,14.2,12.8,4.3,9.5,45,3.3,5.7,58.3,0.9,0.9,100,2.4,1.4,3.8,6.6,0.9,0.5,0.5,1.4,29.2,0,0,-6.6,47.3,40,60,14.8,7.4,77.8,0,7.4,0,7.4,50,50,100,0,88.9,11.1
KATHLEEN DOYLE,IND,22,0.2,0.3,60,0.1,0.4,14.3,0.1,0.4,12.5,0,0.1,0,0,0,0,0.3,1.1,25,2.8,4,69.1,1.3,3.5,38.1,0.9,3,31.5,0.6,0.9,62.5,0,0.2,0,1.3,3.6,35.9,18,4,14,155,15.6,9.7,15.7,26.3,29.2,2.9,4.9,7,11.8,10.3,27.1,24.7,28,0,9.5,35.6,12.9,9.2,88.3,100,-11.7,20.4,1.06,23.8,1.8,8.1,4.8,22.5,30.5,31.6,101.46,84.55,-2.3,8.6,8.1,3,12.3,24.4,1.5,6.3,23.8,0.6,1.2,50,0.9,3.6,4.5,5.7,5.4,2.1,0,7.8,23,0,0,-9.6,46.8,48.8,51.2,37,7.4,55.6,0,7.4,0,29.6,40,60,100,0,70,30
KATIE LOU SAMUELSON,DAL,23,0.5,0.5,91.7,0.4,0.5,75,0,0.5,8.3,0,0.1,0,0,0,0,0.9,2.6,32.8,5.6,8.3,68.1,4.2,9.5,44.3,2.6,7.4,35.6,0.5,0.9,50,0.2,0.8,25,2.4,6.9,34.9,22,8,14,439,11.1,12.3,12.4,18.8,19.9,6.5,7.2,9,17,15,16.8,9.4,17.2,23.5,3.1,15.5,12.1,12,101,104.9,-3.9,10.6,2.5,20.7,1.7,10.6,6,8.3,51.6,53.6,98.86,82.39,6.9,19.9,12.1,4.4,10.6,41.7,2.1,6.6,31.7,1.2,1.7,73.3,0.9,5,5.8,3.3,1.3,1.7,0.9,3.5,30.3,0,0,-2.6,48.3,37.5,62.5,38.2,1.8,51.8,7.3,10,20.9,36.4,76.2,23.8,100,0,87.5,12.5
KAYLA ALEXANDER,MIN,30,0.5,0.6,85.7,0.5,1.2,38.9,0.2,0.4,60,0,0,0,0,0,0,0,0,0,1.5,2.5,63,1.4,2.6,53.8,0.9,2.4,36.4,0.3,1.4,20,0,0.7,0,0.7,2.5,26.3,16,11,5,89,18.8,29.6,22.2,0,0,17.2,22.2,42.9,12,21.1,10.7,14,18.2,33.3,38.5,29.2,18.2,24.8,82.8,101.7,-18.9,7.9,0.5,7.1,10.6,6.7,8.6,14.3,53.3,55.2,96.81,80.67,7.7,5.6,20.6,8.9,16.7,53.3,0,0,0,2.8,4.4,62.5,5,3.3,8.3,1.7,3.3,1.1,1.7,7.8,38.1,0,0,-18.9,49.6,100,0,86.5,16.2,0,0,13.5,8.1,70.3,62.5,37.5,0,0,62.5,37.5
KAYLA MCBRIDE,LVA,28,0.4,0.8,52.9,1.1,2.3,47.1,1.5,3.2,45.1,0,0.2,0,0,0,0,1.1,3.2,35.7,7.5,10.7,69.5,4.4,10.5,41.6,4.9,12.5,38.8,0.7,2,36.7,0.5,1.1,41.2,4.2,12.7,32.9,22,18,4,585,20,18.8,21.1,43.9,48,22.4,20.2,7.4,9.8,9.3,16.7,17.8,24.1,4.3,15.7,14.7,17.3,20.8,107.2,99.7,7.5,13.4,1.68,15.9,1.6,6.9,4.4,9.5,48.3,55.8,101.1,84.25,9.5,26.6,22.2,7.3,17.2,42.5,2,5.9,34.2,5.7,6.3,89.7,0.7,3.4,4.1,4.2,2.5,2.1,0.2,2.4,37.8,0,0,8.3,47.3,65.6,34.4,47.3,23.3,27.3,6.2,25.5,14.9,24,70.8,29.2,92,8,76.7,23.3
KAYLA THORNTON,DAL,28,0.6,0.7,87.5,0.5,1.1,45.8,0.2,0.7,26.7,0,0.1,0,0.1,0.1,100,1,3.1,33.8,6.8,9.7,70.1,5.6,12.8,44,3.3,8.6,38.4,0.4,1.1,31.6,0.2,0.6,27.3,3,8.6,35.3,22,8,14,557,13.1,13.7,13.3,21.2,18.8,11.9,11.5,26,24.6,25,8.1,15,17.7,8.7,6.1,23,13.1,14.1,102.5,105.5,-2.9,5,0.68,9.2,5.5,15.5,10.3,13.5,52.4,57.1,96.2,80.17,7.1,25.3,14.4,4.8,11.4,42.5,2.2,6.5,34.7,2.5,2.9,87.5,2.9,7.3,10.1,1.5,2.2,1.8,0.4,5.8,33.1,2,0,-3.1,49.9,43.3,56.7,36,5,46.6,10.6,17.4,26.1,31.1,75.9,24.1,92,8,83.3,16.7
KELSEY MITCHELL,IND,25,1.6,2.4,67.9,1,2.7,38.3,1,2.3,45.1,0,0.1,0,0,0,0,2.5,6.5,39.4,10.1,15.3,66.1,6.4,13.8,46.4,4.9,12.8,38.4,0.7,1.5,44.4,0.3,0.7,41.7,4.1,11.4,36.4,22,6,16,706,24,25.8,25.7,42.1,38.6,23.3,22.4,3.8,9.8,8.2,17.9,20.5,15.6,3.8,19,19.1,21.8,26.9,103.1,113.1,-10,15.7,1.15,13.7,0.9,6.3,3.5,11.9,53.9,57.9,96.76,80.64,8.6,32.1,27.7,9.7,21.6,44.8,3.9,10.1,38.9,4.4,5.1,84.9,0.4,3,3.4,4.4,3.8,1,0.1,4.4,37.8,0,0,-9.9,49.6,53.2,46.8,41.6,11.7,42.6,10.2,15.7,15,29.9,37.8,62.2,80.4,19.6,55.1,44.9
