"player","team","pos","gp","mp","gs","tot_fg","tot_fga","fg_pct","tot_3p","tot_3pa","3p_pct","tot_2p","tot_2pa","2p_pct","tot_ft","tot_fta","ft_pct","tot_orb","tot_trb","tot_ast","tot_stl","tot_blk","tot_tov","tot_pf","tot_pts","season","pg_fg","pg_fga","pg_fg_pct","pg_3p","pg_3pa","pg_3p_pct","pg_2p","pg_2pa","pg_2p_pct","pg_ft","pg_fta","pg_ft_pct","pg_orb","pg_trb","pg_ast","pg_stl","pg_blk","pg_tov","pg_pf","pg_pts","per","ts_pct","efg_pct","3par","ftr","orb_pct","trb_pct","ast_pct","stl_pct","blk_pct","tov_pct","usg_pct","ortg","drtg","ows","dws","ws","ws_40","fg_percent","avg_shot_dist","pct_shots_from_2","pct_shots_0_3","pct_shots_3-10","pct_shots_10_16","pct_shots_16_3p","pct_shots_from_3","fg_pct_from_2","fg_pct_0_3","fg_pct_3-10","fg_pct_10_16","fg_pct_16_3p","fg_pct_from_3","pct_of_twos_assisted","pct_of_threes_assisted","pct_of_threes_corner","fg_pct_corner_threes","plus_minus_on_court","plus_minus_net","bad_pass_turnovers","lost_ball_turnovers","shooting_fouls_committed","offensive_fouls_committed","shooting_fouls_drawn","offensive_fouls_drawn","points_generated_by_assists","and_1s_drawn","blocked_fgas"
"Yolanda Moore","HOU","F-C",13,93,0,5,20,0.25,0,0,NA,5,20,0.25,6,12,0.5,6,13,1,1,0,7,9,16,1997,0.4,1.5,0.25,0,0,NA,0.4,1.5,0.25,0.5,0.9,0.5,0.5,1,0.1,0.1,0,0.5,0.7,1.2,0.7,0.316,0.25,0,0.6,8.4,9.2,1.9,0.6,0,21.7,16.3,65,98,-0.2,0,-0.2,-0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Penny Moore","CHA","F",28,539,9,57,159,0.358,5,25,0.2,52,134,0.388,16,31,0.516,15,72,28,16,11,44,35,135,1997,2,5.7,0.358,0.2,0.9,0.2,1.9,4.8,0.388,0.6,1.1,0.516,0.5,2.6,1,0.6,0.4,1.6,1.3,4.8,7.4,0.391,0.374,0.157,0.195,3.6,8.3,9.7,1.6,1.7,20.3,19.1,74,93,-0.9,0.6,-0.3,-0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pamela McGee","SAC","F-C",27,691,23,102,222,0.459,2,7,0.286,100,215,0.465,79,112,0.705,54,120,20,27,14,73,113,285,1997,3.8,8.2,0.459,0.1,0.3,0.286,3.7,8,0.465,2.9,4.1,0.705,2,4.4,0.7,1,0.5,2.7,4.2,10.6,14.5,0.525,0.464,0.032,0.505,9.5,10.9,6.1,2.1,1.6,21.2,22.3,94,101,1.2,-0.1,1,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laure Savasta","SAC","G",14,157,0,11,45,0.244,4,20,0.2,7,25,0.28,7,9,0.778,1,6,12,4,1,21,14,33,1997,0.8,3.2,0.244,0.3,1.4,0.2,0.5,1.8,0.28,0.5,0.6,0.778,0.1,0.4,0.9,0.3,0.1,1.5,1,2.4,-0.5,0.337,0.289,0.444,0.2,0.8,2.4,13.8,1.4,0.5,30,19.9,61,106,-0.6,-0.2,-0.8,-0.204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhonda Mapp","CHA","C",28,710,23,120,244,0.492,4,8,0.5,116,236,0.492,82,106,0.774,53,154,64,21,12,68,104,326,1997,4.3,8.7,0.492,0.1,0.3,0.5,4.1,8.4,0.492,2.9,3.8,0.774,1.9,5.5,2.3,0.8,0.4,2.4,3.7,11.6,20.9,0.561,0.5,0.033,0.434,9.5,13.5,19.1,1.6,1.4,19,24,104,91,2.7,1,3.7,0.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sharon Manning","CHA","F-C",28,438,5,58,125,0.464,0,0,NA,58,125,0.464,21,50,0.42,42,98,13,25,5,29,31,137,1997,2.1,4.5,0.464,0,0,NA,2.1,4.5,0.464,0.8,1.8,0.42,1.5,3.5,0.5,0.9,0.2,1,1.1,4.9,15.5,0.466,0.464,0,0.4,12.3,13.9,5.8,3.1,1,16.5,19.1,90,89,0.3,0.8,1.1,0.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mwadi Mabika","LAS","G",21,325,1,53,136,0.39,7,38,0.184,46,98,0.469,13,24,0.542,22,54,22,23,6,27,48,126,1997,2.5,6.5,0.39,0.3,1.8,0.184,2.2,4.7,0.469,0.6,1.1,0.542,1,2.6,1,1.1,0.3,1.3,2.3,6,14.2,0.43,0.415,0.279,0.176,8.7,10.1,12.8,3.7,1.4,15.6,23.7,86,90,0.1,0.5,0.6,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rebecca Lobo","NYL","C",28,939,28,133,354,0.376,18,63,0.286,115,291,0.395,64,105,0.61,62,203,53,26,51,88,73,348,1997,4.8,12.6,0.376,0.6,2.3,0.286,4.1,10.4,0.395,2.3,3.8,0.61,2.2,7.3,1.9,0.9,1.8,3.1,2.6,12.4,14.3,0.435,0.401,0.178,0.297,8.1,13.3,11.7,1.5,4.5,18,23.4,85,87,0,2,1.9,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nancy Lieberman*","PHO","G",25,279,0,25,77,0.325,6,26,0.231,19,51,0.373,8,10,0.8,6,32,40,14,2,39,34,64,1997,1,3.1,0.325,0.2,1,0.231,0.8,2,0.373,0.3,0.4,0.8,0.2,1.3,1.6,0.6,0.1,1.6,1.4,2.6,6.4,0.393,0.364,0.338,0.13,2.5,7.1,29.1,2.7,0.6,32.4,19.4,70,88,-0.7,0.5,-0.2,-0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nicole Levesque","CHA","G",27,622,21,36,98,0.367,23,66,0.348,13,32,0.406,14,15,0.933,5,47,75,21,3,71,47,109,1997,1.3,3.6,0.367,0.9,2.4,0.348,0.5,1.2,0.406,0.5,0.6,0.933,0.2,1.7,2.8,0.8,0.1,2.6,1.7,4,6.8,0.521,0.485,0.673,0.153,1,4.7,20.6,1.9,0.4,40.4,13.4,77,95,-0.6,0.5,-0.1,-0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
