"player","team","pos","gp","mp","gs","tot_fg","tot_fga","fg_pct","tot_3p","tot_3pa","3p_pct","tot_2p","tot_2pa","2p_pct","tot_ft","tot_fta","ft_pct","tot_orb","tot_trb","tot_ast","tot_stl","tot_blk","tot_tov","tot_pf","tot_pts","season","pg_fg","pg_fga","pg_fg_pct","pg_3p","pg_3pa","pg_3p_pct","pg_2p","pg_2pa","pg_2p_pct","pg_ft","pg_fta","pg_ft_pct","pg_orb","pg_trb","pg_ast","pg_stl","pg_blk","pg_tov","pg_pf","pg_pts","per","ts_pct","efg_pct","3par","ftr","orb_pct","trb_pct","ast_pct","stl_pct","blk_pct","tov_pct","usg_pct","ortg","drtg","ows","dws","ws","ws_40","fg_percent","avg_shot_dist","pct_shots_from_2","pct_shots_0_3","pct_shots_3-10","pct_shots_10_16","pct_shots_16_3p","pct_shots_from_3","fg_pct_from_2","fg_pct_0_3","fg_pct_3-10","fg_pct_10_16","fg_pct_16_3p","fg_pct_from_3","pct_of_twos_assisted","pct_of_threes_assisted","pct_of_threes_corner","fg_pct_corner_threes","plus_minus_on_court","plus_minus_net","bad_pass_turnovers","lost_ball_turnovers","shooting_fouls_committed","offensive_fouls_committed","shooting_fouls_drawn","offensive_fouls_drawn","points_generated_by_assists","and_1s_drawn","blocked_fgas"
"Dawn Staley*","CHA","G",32,1065,32,125,301,0.415,33,104,0.317,92,197,0.467,85,91,0.934,12,72,177,38,3,90,71,368,1999,3.9,9.4,0.415,1,3.3,0.317,2.9,6.2,0.467,2.7,2.8,0.934,0.4,2.3,5.5,1.2,0.1,2.8,2.2,11.5,16.9,0.54,0.47,0.346,0.302,1.6,4.6,33.3,2.1,0.2,20.9,20.7,103,102,2.4,0.5,3,0.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kate Starbird","SAC","F-G",24,215,1,12,55,0.218,2,15,0.133,10,40,0.25,22,27,0.815,9,23,14,13,4,17,23,48,1999,0.5,2.3,0.218,0.1,0.6,0.133,0.4,1.7,0.25,0.9,1.1,0.815,0.4,1,0.6,0.5,0.2,0.7,1,2,6.7,0.359,0.236,0.273,0.491,5,6.6,10.7,3.2,1.6,20.3,17.3,79,96,-0.3,0.3,0,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maria Stepanova","PHO","C",32,554,2,96,198,0.485,1,2,0.5,95,196,0.485,55,88,0.625,62,164,24,13,62,43,86,248,1999,3,6.2,0.485,0,0.1,0.5,3,6.1,0.485,1.7,2.8,0.625,1.9,5.1,0.8,0.4,1.9,1.3,2.7,7.8,23.3,0.524,0.487,0.01,0.444,14,18.8,10.3,1.3,9.4,15.4,24.2,101,91,1.3,1.2,2.5,0.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Valerie Still","WAS","F",23,282,6,12,49,0.245,0,3,0,12,46,0.261,7,19,0.368,16,43,6,4,4,20,38,31,1999,0.5,2.1,0.245,0,0.1,0,0.5,2,0.261,0.3,0.8,0.368,0.7,1.9,0.3,0.2,0.2,0.9,1.7,1.3,-0.8,0.27,0.245,0.061,0.388,7.8,9.8,3.9,0.8,1.2,25.9,13.3,56,102,-1,0.1,-0.9,-0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrea Stinson","CHA","G",32,1041,32,174,378,0.46,21,68,0.309,153,310,0.494,65,88,0.739,32,113,93,32,18,67,56,434,1999,5.4,11.8,0.46,0.7,2.1,0.309,4.8,9.7,0.494,2,2.8,0.739,1,3.5,2.9,1,0.6,2.1,1.8,13.6,18.5,0.521,0.488,0.18,0.233,4.4,7.4,19.9,1.8,1.5,13.9,23.8,101,101,2.2,0.7,3,0.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tora Suber","ORL","G",25,114,0,7,24,0.292,1,9,0.111,6,15,0.4,5,10,0.5,4,13,9,5,0,10,14,20,1999,0.3,1,0.292,0,0.4,0.111,0.2,0.6,0.4,0.2,0.4,0.5,0.2,0.5,0.4,0.2,0,0.4,0.6,0.8,3.9,0.352,0.313,0.375,0.417,4.6,7.5,14.3,2.5,0,26,16.2,70,100,-0.3,0.1,-0.2,-0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sheryl Swoopes*","HOU","F-G",32,1100,32,226,489,0.462,33,98,0.337,193,391,0.494,100,122,0.82,48,202,127,76,46,83,57,585,1999,7.1,15.3,0.462,1,3.1,0.337,6,12.2,0.494,3.1,3.8,0.82,1.5,6.3,4,2.4,1.4,2.6,1.8,18.3,28.9,0.539,0.496,0.2,0.249,6.1,12.1,25.7,4,3.6,13.3,27.7,110,87,5,3.1,8.1,0.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sonja Tate","MIN","G",32,828,18,52,147,0.354,16,67,0.239,36,80,0.45,23,30,0.767,48,127,100,36,3,65,84,143,1999,1.6,4.6,0.354,0.5,2.1,0.239,1.1,2.5,0.45,0.7,0.9,0.767,1.5,4,3.1,1.1,0.1,2,2.6,4.5,10.3,0.446,0.408,0.456,0.204,7.3,10.3,23.5,2.6,0.4,28.9,13.7,88,97,-0.2,1.1,0.9,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tina Thompson*","HOU","F",32,1074,32,142,339,0.419,39,111,0.351,103,228,0.452,68,87,0.782,67,206,28,31,31,72,95,391,1999,4.4,10.6,0.419,1.2,3.5,0.351,3.2,7.1,0.452,2.1,2.7,0.782,2.1,6.4,0.9,1,1,2.3,3,12.2,15.7,0.518,0.476,0.327,0.257,8.7,12.6,5,1.7,2.5,16,20.4,100,93,1.8,2,3.8,0.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michele Timms","PHO","G",30,804,29,68,192,0.354,31,89,0.348,37,103,0.359,38,49,0.776,17,79,151,43,7,89,87,205,1999,2.3,6.4,0.354,1,3,0.348,1.2,3.4,0.359,1.3,1.6,0.776,0.6,2.6,5,1.4,0.2,3,2.9,6.8,12.6,0.48,0.435,0.464,0.255,2.7,6.2,36.8,3.1,0.7,29.4,18,89,97,0,0.9,0.9,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Penny Toler","LAS","G",30,427,4,51,150,0.34,2,13,0.154,49,137,0.358,39,45,0.867,12,43,66,13,0,40,36,143,1999,1.7,5,0.34,0.1,0.4,0.154,1.6,4.6,0.358,1.3,1.5,0.867,0.4,1.4,2.2,0.4,0,1.3,1.2,4.8,11.5,0.421,0.347,0.087,0.3,3.5,6.2,27.2,1.7,0,19.1,22.5,89,101,0,0.2,0.3,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elena Tornikidou","DET","F",11,86,0,9,23,0.391,0,0,NA,9,23,0.391,2,6,0.333,3,9,8,1,1,11,8,20,1999,0.8,2.1,0.391,0,0,NA,0.8,2.1,0.391,0.2,0.5,0.333,0.3,0.8,0.7,0.1,0.1,1,0.7,1.8,3.2,0.39,0.391,0,0.261,4.2,6.6,18.5,0.6,1,30,19.8,67,101,-0.3,0,-0.3,-0.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chantel Tremitiere","UTA","G",20,191,0,9,29,0.31,2,8,0.25,7,21,0.333,1,1,1,3,19,22,6,0,13,28,21,1999,0.5,1.5,0.31,0.1,0.4,0.25,0.4,1.1,0.333,0.1,0.1,1,0.2,1,1.1,0.3,0,0.7,1.4,1.1,3.5,0.357,0.345,0.276,0.034,2,6.4,19.1,1.7,0,30.6,10.2,75,106,-0.2,0,-0.3,-0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polina Tzekova","HOU","C",32,778,32,76,177,0.429,11,44,0.25,65,133,0.489,31,40,0.775,54,163,32,13,19,52,118,194,1999,2.4,5.5,0.429,0.3,1.4,0.25,2,4.2,0.489,1,1.3,0.775,1.7,5.1,1,0.4,0.6,1.6,3.7,6.1,10.4,0.498,0.46,0.249,0.226,9.7,13.8,7.4,1,2.1,21.1,15.4,95,94,0.6,1.3,1.9,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaya Valdemoro","HOU","F",17,92,0,13,35,0.371,2,5,0.4,11,30,0.367,12,16,0.75,4,13,9,11,0,12,16,40,1999,0.8,2.1,0.371,0.1,0.3,0.4,0.6,1.8,0.367,0.7,0.9,0.75,0.2,0.8,0.5,0.6,0,0.7,0.9,2.4,17.2,0.476,0.4,0.143,0.457,6,9.3,19.1,6.9,0,22.2,28.6,89,85,0,0.3,0.3,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michele Van Gorp","NYL","C",21,117,0,8,24,0.333,0,0,NA,8,24,0.333,4,5,0.8,5,17,7,1,3,3,23,20,1999,0.4,1.1,0.333,0,0,NA,0.4,1.1,0.333,0.2,0.2,0.8,0.2,0.8,0.3,0,0.1,0.1,1.1,1,5.9,0.382,0.333,0,0.208,5.6,9.9,11,0.5,2.5,10.3,12.4,92,97,0,0.1,0.2,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coquese Washington","NYL","G",19,77,0,5,18,0.278,0,5,0,5,13,0.385,2,2,1,1,7,15,9,0,13,15,12,1999,0.3,0.9,0.278,0,0.3,0,0.3,0.7,0.385,0.1,0.1,1,0.1,0.4,0.8,0.5,0,0.7,0.8,0.6,4.9,0.318,0.278,0.278,0.111,1.7,6.2,35.5,6.8,0,40.8,20.6,61,86,-0.4,0.2,-0.2,-0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Teresa Weatherspoon*","NYL","G",32,1086,32,80,190,0.421,31,82,0.378,49,108,0.454,38,56,0.679,22,104,205,78,3,80,91,229,1999,2.5,5.9,0.421,1,2.6,0.378,1.5,3.4,0.454,1.2,1.8,0.679,0.7,3.3,6.4,2.4,0.1,2.5,2.8,7.2,16.3,0.533,0.503,0.432,0.295,2.6,6.5,35,4.2,0.3,27.2,13.5,104,92,2,2.2,4.2,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Val Whiting-Raymond","DET","C-F",31,764,20,76,200,0.38,0,0,NA,76,200,0.38,50,110,0.455,66,207,49,40,31,46,84,202,1999,2.5,6.5,0.38,0,0,NA,2.5,6.5,0.38,1.6,3.5,0.455,2.1,6.7,1.6,1.3,1,1.5,2.7,6.5,14.5,0.407,0.38,0,0.55,10.3,17.1,12.6,2.9,3.4,15.6,17.9,87,91,-0.3,1.7,1.4,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tamika Whitmore","NYL","F",27,573,1,80,184,0.435,1,8,0.125,79,176,0.449,53,78,0.679,43,96,18,16,6,56,78,214,1999,3,6.8,0.435,0,0.3,0.125,2.9,6.5,0.449,2,2.9,0.679,1.6,3.6,0.7,0.6,0.2,2.1,2.9,7.9,11.7,0.49,0.438,0.043,0.424,9.8,11.4,6.6,1.6,1,20.4,23.8,89,96,-0.1,0.8,0.7,0.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jennifer Whittle","WAS","C",3,18,0,0,2,0,0,0,NA,0,2,0,0,0,NA,0,3,0,1,1,5,1,0,1999,0,0.7,0,0,0,NA,0,0.7,0,0,0,NA,0,1,0,0.3,0.3,1.7,0.3,0,-13.7,0,0,0,0,0,10.7,0,3.2,4.5,71.4,18.9,0,92,-0.3,0,-0.2,-0.486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sue Wicks","NYL","F",32,938,30,91,226,0.403,2,15,0.133,89,211,0.422,32,52,0.615,76,223,45,41,43,63,123,216,1999,2.8,7.1,0.403,0.1,0.5,0.133,2.8,6.6,0.422,1,1.6,0.615,2.4,7,1.4,1.3,1.3,2,3.8,6.8,12.5,0.434,0.407,0.066,0.23,10.6,16.1,9.3,2.6,4.5,20.2,16.5,87,89,-0.3,2.3,2,0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jamila Wideman","CLE","G",26,401,13,21,77,0.273,3,22,0.136,18,55,0.327,11,17,0.647,8,34,51,20,0,40,22,56,1999,0.8,3,0.273,0.1,0.8,0.136,0.7,2.1,0.327,0.4,0.7,0.647,0.3,1.3,2,0.8,0,1.5,0.8,2.2,5,0.331,0.292,0.286,0.221,2.7,5.5,23.3,2.8,0,32.1,15.1,65,99,-1.2,0.3,-0.9,-0.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Natalie Williams","UTA","C",28,954,26,180,347,0.519,0,2,0,180,345,0.522,144,191,0.754,109,257,25,38,22,68,108,504,1999,6.4,12.4,0.519,0,0.1,0,6.4,12.3,0.522,5.1,6.8,0.754,3.9,9.2,0.9,1.4,0.8,2.4,3.9,18,24.8,0.585,0.519,0.006,0.55,14.8,17.2,5.7,2.2,2,13.6,24,114,101,4.4,0.6,4.9,0.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rita Williams","WAS","G",31,312,0,31,62,0.5,19,34,0.559,12,28,0.429,23,36,0.639,7,37,30,21,1,26,41,104,1999,1,2,0.5,0.6,1.1,0.559,0.4,0.9,0.429,0.7,1.2,0.639,0.2,1.2,1,0.7,0,0.8,1.3,3.4,17.4,0.668,0.653,0.548,0.581,3.1,7.6,19.8,3.8,0.3,25,16.2,109,96,0.8,0.4,1.3,0.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amanda Wilson","PHO","F",12,34,0,4,12,0.333,1,5,0.2,3,7,0.429,3,3,1,4,6,2,1,1,2,3,12,1999,0.3,1,0.333,0.1,0.4,0.2,0.3,0.6,0.429,0.3,0.3,1,0.3,0.5,0.2,0.1,0.1,0.2,0.3,1,15.8,0.45,0.375,0.417,0.25,14.7,11.2,12.3,1.7,2.5,13.1,21.6,100,100,0.1,0,0.1,0.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sophia Witherspoon","NYL","G",32,581,23,97,245,0.396,28,78,0.359,69,167,0.413,49,69,0.71,20,47,37,33,2,48,54,271,1999,3,7.7,0.396,0.9,2.4,0.359,2.2,5.2,0.413,1.5,2.2,0.71,0.6,1.5,1.2,1,0.1,1.5,1.7,8.5,16.6,0.492,0.453,0.318,0.282,4.5,5.5,14.3,3.3,0.3,14.8,27.6,95,95,0.6,0.9,1.5,0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kara Wolters","HOU","C",10,41,0,3,13,0.231,0,0,NA,3,13,0.231,10,12,0.833,5,12,2,1,0,3,11,16,1999,0.3,1.3,0.231,0,0,NA,0.3,1.3,0.231,1,1.2,0.833,0.5,1.2,0.2,0.1,0,0.3,1.1,1.6,13.1,0.438,0.231,0,0.923,17,19.2,8.4,1.4,0,14.1,25.3,100,92,0.1,0.1,0.2,0.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tricia Bader Binford","TOT","G",16,106,0,2,16,0.125,1,10,0.1,1,6,0.167,2,2,1,3,13,12,6,1,7,20,7,1999,0.1,1,0.125,0.1,0.6,0.1,0.1,0.4,0.167,0.1,0.1,1,0.2,0.8,0.8,0.4,0.1,0.4,1.3,0.4,2.2,0.207,0.156,0.625,0.125,3.8,7.9,19.6,3.1,0.8,29.3,10.7,59,98,-0.3,0.1,-0.2,-0.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cindy Brown","TOT","F",30,646,21,57,178,0.32,8,40,0.2,49,138,0.355,56,81,0.691,49,146,32,34,14,47,61,178,1999,1.9,5.9,0.32,0.3,1.3,0.2,1.6,4.6,0.355,1.9,2.7,0.691,1.6,4.9,1.1,1.1,0.5,1.6,2,5.9,12.2,0.417,0.343,0.225,0.455,9.3,14.3,9.3,2.9,1.8,18,18.7,85,95,-0.4,1.1,0.7,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korie Hlede","TOT","G",32,685,11,111,267,0.416,21,53,0.396,90,214,0.421,72,82,0.878,31,85,53,30,3,54,83,315,1999,3.5,8.3,0.416,0.7,1.7,0.396,2.8,6.7,0.421,2.3,2.6,0.878,1,2.7,1.7,0.9,0.1,1.7,2.6,9.8,17.3,0.52,0.455,0.199,0.307,5.5,7.9,16.5,2.4,0.4,15.1,24.1,101,101,1.5,0.5,1.9,0.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wendy Palmer","TOT","F",31,741,14,104,241,0.432,13,46,0.283,91,195,0.467,86,123,0.699,50,188,42,9,12,58,101,307,1999,3.4,7.8,0.432,0.4,1.5,0.283,2.9,6.3,0.467,2.8,4,0.699,1.6,6.1,1.4,0.3,0.4,1.9,3.3,9.9,16.2,0.52,0.459,0.191,0.51,8.4,16.1,11.4,0.7,1.4,16.4,22,100,100,1.4,0.5,1.9,0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nyree Roberts","TOT","C",12,79,0,6,11,0.545,0,0,NA,6,11,0.545,5,9,0.556,3,12,1,5,1,11,5,17,1999,0.5,0.9,0.545,0,0,NA,0.5,0.9,0.545,0.4,0.8,0.556,0.3,1,0.1,0.4,0.1,0.9,0.4,1.4,7.1,0.568,0.545,0,0.818,5.2,9.8,2.6,3.6,1,42.4,16,67,94,-0.2,0.1,-0.1,-0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Olympia Scott","TOT","C",12,88,0,9,28,0.321,0,0,NA,9,28,0.321,7,12,0.583,8,20,5,1,3,8,21,25,1999,0.8,2.3,0.321,0,0,NA,0.8,2.3,0.321,0.6,1,0.583,0.7,1.7,0.4,0.1,0.3,0.7,1.8,2.1,5.8,0.376,0.321,0,0.429,11.4,14.4,10.9,0.6,2.8,19.4,21.7,78,100,-0.2,0.1,-0.1,-0.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tricia Bader Binford","UTA","G",7,34,0,0,3,0,0,2,0,0,1,0,2,2,1,0,2,1,3,1,4,12,2,1999,0,0.4,0,0,0.3,0,0,0.1,0,0.3,0.3,1,0,0.3,0.1,0.4,0.1,0.6,1.7,0.3,-5.4,0.258,0,0.667,0.667,0,3.8,4.5,4.8,2.6,50.8,10.6,34,98,-0.2,0,-0.1,-0.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cindy Brown","DET","F",21,490,21,46,146,0.315,7,30,0.233,39,116,0.336,45,65,0.692,35,113,22,25,12,35,45,144,1999,2.2,7,0.315,0.3,1.4,0.233,1.9,5.5,0.336,2.1,3.1,0.692,1.7,5.4,1,1.2,0.6,1.7,2.1,6.9,12.5,0.412,0.339,0.205,0.445,8.5,14.6,8.7,2.8,2,16.7,19.9,84,93,-0.4,1,0.6,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korie Hlede","DET","G",21,408,10,67,172,0.39,8,24,0.333,59,148,0.399,42,49,0.857,24,55,25,22,2,32,49,184,1999,3.2,8.2,0.39,0.4,1.1,0.333,2.8,7,0.399,2,2.3,0.857,1.1,2.6,1.2,1,0.1,1.5,2.3,8.8,16.2,0.475,0.413,0.14,0.285,7,8.5,13.8,2.9,0.4,14.2,25.7,94,97,0.4,0.5,0.9,0.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wendy Palmer","UTA","F",20,446,4,57,141,0.404,9,30,0.3,48,111,0.432,44,68,0.647,23,83,30,3,8,32,57,167,1999,2.9,7.1,0.404,0.5,1.5,0.3,2.4,5.6,0.432,2.2,3.4,0.647,1.2,4.2,1.5,0.2,0.4,1.6,2.9,8.4,12.8,0.489,0.436,0.213,0.482,6.7,11.9,12.9,0.4,1.6,15.8,20.9,97,106,0.6,-0.1,0.5,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nyree Roberts","HOU","C",4,17,0,0,1,0,0,0,NA,0,1,0,1,2,0.5,1,2,0,0,0,1,0,1,1999,0,0.3,0,0,0,NA,0,0.3,0,0.3,0.5,0.5,0.3,0.5,0,0,0,0.3,0,0.3,-0.3,0.266,0,0,2,8.2,7.7,0,0,0,34.7,8.3,55,102,0,0,0,-0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Olympia Scott","UTA","C",4,36,0,3,10,0.3,0,0,NA,3,10,0.3,3,6,0.5,5,8,2,1,0,3,7,9,1999,0.8,2.5,0.3,0,0,NA,0.8,2.5,0.3,0.8,1.5,0.5,1.3,2,0.5,0.3,0,0.8,1.8,2.3,5.9,0.356,0.3,0,0.6,18,14.2,9.8,1.5,0,19.2,19.9,81,106,-0.1,0,-0.1,-0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tricia Bader Binford","CLE","G",9,72,0,2,13,0.154,1,8,0.125,1,5,0.2,0,0,NA,3,11,11,3,0,3,8,5,1999,0.2,1.4,0.154,0.1,0.9,0.125,0.1,0.6,0.2,0,0,NA,0.3,1.2,1.2,0.3,0,0.3,0.9,0.6,5.7,0.192,0.192,0.615,0,5.5,9.9,26.8,2.4,0,18.8,10.8,70,98,-0.1,0.1,-0.1,-0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cindy Brown","UTA","F",9,156,0,11,32,0.344,1,10,0.1,10,22,0.455,11,16,0.688,14,33,10,9,2,12,16,34,1999,1.2,3.6,0.344,0.1,1.1,0.1,1.1,2.4,0.455,1.2,1.8,0.688,1.6,3.7,1.1,1,0.2,1.3,1.8,3.8,11.3,0.435,0.359,0.313,0.5,11.6,13.5,11.1,3.1,1.1,23.5,15,88,101,0,0.1,0.1,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korie Hlede","UTA","G",11,277,1,44,95,0.463,13,29,0.448,31,66,0.47,30,33,0.909,7,30,28,8,1,22,34,131,1999,4,8.6,0.463,1.2,2.6,0.448,2.8,6,0.47,2.7,3,0.909,0.6,2.7,2.5,0.7,0.1,2,3.1,11.9,19,0.598,0.532,0.305,0.347,3.3,6.9,20.6,1.6,0.3,16.7,21.8,112,106,1.1,-0.1,1,0.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wendy Palmer","DET","F",11,295,10,47,100,0.47,4,16,0.25,43,84,0.512,42,55,0.764,27,105,12,6,4,26,44,140,1999,4.3,9.1,0.47,0.4,1.5,0.25,3.9,7.6,0.512,3.8,5,0.764,2.5,9.5,1.1,0.5,0.4,2.4,4,12.7,21.3,0.564,0.49,0.16,0.55,10.9,22.5,9.1,1.1,1.1,17.3,23.7,104,92,0.8,0.6,1.4,0.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
